Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.9418604651162791,0.963302752293578,0.9459459459459459,0.9545454545454546,0.9871510855117412
Decision Tree,0.9651162790697675,0.981651376146789,0.963963963963964,0.9727272727272728,0.965588539359031
Random Forest,0.9883720930232558,1.0,0.9819819819819819,0.990909090909091,1.0
Gradient Boosting,0.9941860465116279,1.0,0.990990990990991,0.995475113122172,0.9997046226554424
SVM,0.9941860465116279,0.9910714285714286,1.0,0.9955156950672646,0.9998523113277211
KNN,0.9186046511627907,0.970873786407767,0.9009009009009009,0.9345794392523364,0.9929847880667553
XGBoost,0.9883720930232558,0.990990990990991,0.990990990990991,0.990990990990991,0.9997046226554424
